datetime,open_interest,oi_usd
2026-03-23 11:00:00,2160857.04,4425192163.380409
2026-03-23 12:00:00,2209291.868,4713726410.522011
2026-03-23 13:00:00,2179660.824,4671431606.925466
2026-03-23 14:00:00,2190577.002,4785541141.253027
2026-03-23 15:00:00,2222282.576,4845924613.883632
2026-03-23 16:00:00,2205591.641,4692506495.80955
2026-03-23 17:00:00,2169770.688,4632069860.15616
2026-03-23 18:00:00,2171702.122,4672330247.39812
2026-03-23 19:00:00,2129927.069,4618576454.96098
2026-03-23 20:00:00,2120929.188,4570309202.231563
2026-03-23 21:00:00,2119876.997,4580015450.78847
2026-03-23 22:00:00,2119053.48,4572553090.193067
2026-03-23 23:00:00,2117305.364,4556551505.816312
2026-03-24 00:00:00,2115861.455,4551345958.317633
2026-03-24 01:00:00,2119331.387,4539897305.786815
2026-03-24 02:00:00,2115834.904,4520650539.18832
2026-03-24 03:00:00,2120552.872,4527419307.839644
2026-03-24 04:00:00,2122233.605,4542895699.5351
2026-03-24 05:00:00,2125256.182,4537506958.81728
2026-03-24 06:00:00,2129585.615,4542104970.283035
2026-03-24 07:00:00,2130262.707,4568021817.455843
2026-03-24 08:00:00,2127213.785,4604609503.2867
2026-03-24 09:00:00,2130827.016,4590531142.907643
2026-03-24 10:00:00,2128171.751,4604852907.94376
2026-03-24 11:00:00,2128099.999,4597270584.83973
2026-03-24 12:00:00,2131730.394,4614752737.836308
2026-03-24 13:00:00,2141841.982,4629377259.8948
2026-03-24 14:00:00,2141542.636,4577063968.548427
2026-03-24 15:00:00,2132242.386,4548219150.587156
2026-03-24 16:00:00,2132584.136,4551666055.637702
2026-03-24 17:00:00,2140334.989,4550908673.71114
2026-03-24 18:00:00,2150898.673,4534911744.17974
2026-03-24 19:00:00,2141600.954,4536017900.6197
2026-03-24 20:00:00,2135127.205,4518135925.541528
2026-03-24 21:00:00,2129806.982,4574016070.68284
2026-03-24 22:00:00,2130212.281,4575504425.616766
2026-03-24 23:00:00,2141737.53,4592985219.144282
2026-03-25 00:00:00,2130158.942,4591131567.6926
2026-03-25 01:00:00,2127505.783,4596774094.98112
2026-03-25 02:00:00,2136948.05,4607944266.439227
2026-03-25 03:00:00,2137303.922,4604992284.26276
2026-03-25 04:00:00,2133530.872,4603071521.03128
2026-03-25 05:00:00,2140392.294,4634826877.35054
2026-03-25 06:00:00,2164053.66,4691277706.055065
2026-03-25 07:00:00,2168769.738,4689921183.03024
2026-03-25 08:00:00,2165055.096,4684529711.2152
2026-03-25 09:00:00,2183257.041,4749829012.423353
